,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
2397,"{'id': 2661, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2661.json'}",ܨܕ,"{'English': ['behold', 'to esteem.', 'Ia, IIIa <span class=""selectableFont"">ܐܰܨܶܕ</span> to fix the eye, gaze intently']}",{'Greek': ['θεωρέω']},"{'id': 1576, 'uri': 'https://sedra.bethmardutho.org/api/root/1576.json'}","[{'id': 42376, 'uri': 'https://sedra.bethmardutho.org/api/word/42376.json'}, {'id': 17343, 'uri': 'https://sedra.bethmardutho.org/api/word/17343.json'}, {'id': 17344, 'uri': 'https://sedra.bethmardutho.org/api/word/17344.json'}, {'id': 27911, 'uri': 'https://sedra.bethmardutho.org/api/word/27911.json'}, {'id': 27912, 'uri': 'https://sedra.bethmardutho.org/api/word/27912.json'}, {'id': 17345, 'uri': 'https://sedra.bethmardutho.org/api/word/17345.json'}, {'id': 27913, 'uri': 'https://sedra.bethmardutho.org/api/word/27913.json'}, {'id': 27914, 'uri': 'https://sedra.bethmardutho.org/api/word/27914.json'}]",verb,,Greek,θεωρέω
2447,"{'id': 2721, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2721.json'}",ܩܐܪܣܐ,"{'English': ['time', 'opportunity', 'war', 'season', 'calamity', 'occasion.', 'battle']}",{'Greek': ['καιρός']},"{'id': 1613, 'uri': 'https://sedra.bethmardutho.org/api/root/1613.json'}","[{'id': 17643, 'uri': 'https://sedra.bethmardutho.org/api/word/17643.json'}, {'id': 17644, 'uri': 'https://sedra.bethmardutho.org/api/word/17644.json'}, {'id': 17641, 'uri': 'https://sedra.bethmardutho.org/api/word/17641.json'}, {'id': 17642, 'uri': 'https://sedra.bethmardutho.org/api/word/17642.json'}, {'id': 17646, 'uri': 'https://sedra.bethmardutho.org/api/word/17646.json'}]",noun,,Greek,καιρός
2448,"{'id': 2722, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2722.json'}",ܩܒܐ,"{'English': ['cab', 'measure (for solids).']}",{'Hebrew': ['קָב']},"{'id': 1614, 'uri': 'https://sedra.bethmardutho.org/api/root/1614.json'}","[{'id': 17647, 'uri': 'https://sedra.bethmardutho.org/api/word/17647.json'}, {'id': 17648, 'uri': 'https://sedra.bethmardutho.org/api/word/17648.json'}]",noun,,Hebrew,קָב
2477,"{'id': 2753, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2753.json'}",ܩܘܒܪܢܝܛܐ,"{'English': ['shipmaster', 'captain']}",{'Greek': ['κυβερνήτης']},"{'id': 1625, 'uri': 'https://sedra.bethmardutho.org/api/root/1625.json'}","[{'id': 17891, 'uri': 'https://sedra.bethmardutho.org/api/word/17891.json'}, {'id': 17890, 'uri': 'https://sedra.bethmardutho.org/api/word/17890.json'}]",noun,,Greek,κυβερνήτης
2494,"{'id': 2773, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2773.json'}",ܩܘܢܘܡܘܢ,{'English': ['cinnamon']},{'Greek': ['κιννάμωμον']},"{'id': 1633, 'uri': 'https://sedra.bethmardutho.org/api/root/1633.json'}","[{'id': 18145, 'uri': 'https://sedra.bethmardutho.org/api/word/18145.json'}, {'id': 18146, 'uri': 'https://sedra.bethmardutho.org/api/word/18146.json'}]",noun,,Greek,κιννάμωμον
2496,"{'id': 2775, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2775.json'}",ܩܘܦܝܢܐ,"{'English': ['basket', 'basket (large).']}",{'Greek': ['κόφινος']},"{'id': 1635, 'uri': 'https://sedra.bethmardutho.org/api/root/1635.json'}","[{'id': 18148, 'uri': 'https://sedra.bethmardutho.org/api/word/18148.json'}, {'id': 18149, 'uri': 'https://sedra.bethmardutho.org/api/word/18149.json'}]",noun,,Greek,κόφινος
2500,"{'id': 2779, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2779.json'}",ܩܘܪܝܐ,{'English': ['lady']},{'Greek': ['κυρία']},"{'id': 1639, 'uri': 'https://sedra.bethmardutho.org/api/root/1639.json'}","[{'id': 18157, 'uri': 'https://sedra.bethmardutho.org/api/word/18157.json'}]",noun,,Greek,κυρία
2521,"{'id': 2801, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2801.json'}",ܩܛܓܪܢܐ,{'English': ['accuser']},{'Greek': ['κατήγορος']},"{'id': 1652, 'uri': 'https://sedra.bethmardutho.org/api/root/1652.json'}","[{'id': 18304, 'uri': 'https://sedra.bethmardutho.org/api/word/18304.json'}, {'id': 18305, 'uri': 'https://sedra.bethmardutho.org/api/word/18305.json'}, {'id': 18303, 'uri': 'https://sedra.bethmardutho.org/api/word/18303.json'}, {'id': 18308, 'uri': 'https://sedra.bethmardutho.org/api/word/18308.json'}, {'id': 18306, 'uri': 'https://sedra.bethmardutho.org/api/word/18306.json'}, {'id': 18307, 'uri': 'https://sedra.bethmardutho.org/api/word/18307.json'}, {'id': 27933, 'uri': 'https://sedra.bethmardutho.org/api/word/27933.json'}, {'id': 27934, 'uri': 'https://sedra.bethmardutho.org/api/word/27934.json'}]",noun,p,Greek,κατήγορος
2522,"{'id': 2802, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2802.json'}",ܩܛܓܪܢܘܬܐ,{'English': ['accusation']},{'Greek': ['κατήγορος']},"{'id': 1652, 'uri': 'https://sedra.bethmardutho.org/api/root/1652.json'}","[{'id': 18309, 'uri': 'https://sedra.bethmardutho.org/api/word/18309.json'}]",noun,p,Greek,κατήγορος
2523,"{'id': 2803, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/2803.json'}",ܩܛܪܓ,"{'Arabic': ['\xa0', 'شكى', 'وصف'], 'French': ['accuser…', 'accuser', 'qualifier'], 'English': ['to be predicated.', 'IVa to denounce, accuse', 'accuse', 'to predicate', 'IVp to be accused']}",{'Greek': ['κατήγορος']},"{'id': 1652, 'uri': 'https://sedra.bethmardutho.org/api/root/1652.json'}","[{'id': 18318, 'uri': 'https://sedra.bethmardutho.org/api/word/18318.json'}, {'id': 28222, 'uri': 'https://sedra.bethmardutho.org/api/word/28222.json'}, {'id': 18312, 'uri': 'https://sedra.bethmardutho.org/api/word/18312.json'}, {'id': 18313, 'uri': 'https://sedra.bethmardutho.org/api/word/18313.json'}, {'id': 28221, 'uri': 'https://sedra.bethmardutho.org/api/word/28221.json'}, {'id': 18311, 'uri': 'https://sedra.bethmardutho.org/api/word/18311.json'}, {'id': 18314, 'uri': 'https://sedra.bethmardutho.org/api/word/18314.json'}, {'id': 18315, 'uri': 'https://sedra.bethmardutho.org/api/word/18315.json'}, {'id': 18319, 'uri': 'https://sedra.bethmardutho.org/api/word/18319.json'}, {'id': 18320, 'uri': 'https://sedra.bethmardutho.org/api/word/18320.json'}, {'id': 28223, 'uri': 'https://sedra.bethmardutho.org/api/word/28223.json'}, {'id': 28224, 'uri': 'https://sedra.bethmardutho.org/api/word/28224.json'}, {'id': 18310, 'uri': 'https://sedra.bethmardutho.org/api/word/18310.json'}, {'id': 27936, 'uri': 'https://sedra.bethmardutho.org/api/word/27936.json'}, {'id': 28219, 'uri': 'https://sedra.bethmardutho.org/api/word/28219.json'}, {'id': 28220, 'uri': 'https://sedra.bethmardutho.org/api/word/28220.json'}, {'id': 18316, 'uri': 'https://sedra.bethmardutho.org/api/word/18316.json'}, {'id': 18317, 'uri': 'https://sedra.bethmardutho.org/api/word/18317.json'}, {'id': 28225, 'uri': 'https://sedra.bethmardutho.org/api/word/28225.json'}, {'id': 28226, 'uri': 'https://sedra.bethmardutho.org/api/word/28226.json'}]",verb,,Greek,κατήγορος
