,lexeme,syriac,glosses,etymologies,root,words,category,kaylo,origin_lang,origin_lang_word
25669,"{'id': 28419, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28419.json'}",ܐܘܦܘܣܘܪܡܐܛܐ,"{'Greek': ['ἀποσύρματα'], 'English': ['that which is peeled cff, abrasion']}",{'Greek': ['ἀπόσυρμα']},,"[{'id': 48876, 'uri': 'https://sedra.bethmardutho.org/api/word/48876.json'}, {'id': 54793, 'uri': 'https://sedra.bethmardutho.org/api/word/54793.json'}]",noun,,Greek,ἀπόσυρμα
25670,"{'id': 28420, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28420.json'}",ܐܘܦܘܣܛܣܝܣ,"{'Greek': ['ὑπόστασις'], 'English': ['substance, actual existence, reality']}",{'Greek': ['ὑπόστασις']},,"[{'id': 54794, 'uri': 'https://sedra.bethmardutho.org/api/word/54794.json'}]",noun,,Greek,ὑπόστασις
25671,"{'id': 28421, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28421.json'}",ܐܘܦܘܣܡܗ,"{'Greek': ['ὄψομαι'], 'English': ['I will see, perceive, look']}",{'Greek': ['ὁράω']},,"[{'id': 48899, 'uri': 'https://sedra.bethmardutho.org/api/word/48899.json'}, {'id': 54795, 'uri': 'https://sedra.bethmardutho.org/api/word/54795.json'}]",verb,,Greek,ὁράω
25672,"{'id': 28423, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28423.json'}",ܐܘܦܘܦܝܐ,"{'Greek': ['ὑπώπια'], 'English': ['the part of the face under the eyes, a blow in the face, a black eye']}",{'Greek': ['ὑπώπιον']},,"[{'id': 54797, 'uri': 'https://sedra.bethmardutho.org/api/word/54797.json'}]",noun,,Greek,ὑπώπιον
25673,"{'id': 28424, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28424.json'}",ܐܘܦܘܩܘܣܛܝܣ,"{'Greek': ['ὑποκιστίς'], 'English': ['hypocist, Cytinus Hypocisthis']}",{'Greek': ['ὑποκιστίς']},,"[{'id': 48920, 'uri': 'https://sedra.bethmardutho.org/api/word/48920.json'}, {'id': 54798, 'uri': 'https://sedra.bethmardutho.org/api/word/54798.json'}]",noun,,Greek,ὑποκιστίς
25674,"{'id': 28425, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28425.json'}",ܐܘܦܘܩܝܡܗܢܘܢ,{'Greek': ['τὸ ὑποκείμενον']},{'Greek': ['ὑπόκειμαι']},,"[{'id': 48865, 'uri': 'https://sedra.bethmardutho.org/api/word/48865.json'}, {'id': 54799, 'uri': 'https://sedra.bethmardutho.org/api/word/54799.json'}]",participle adjective,,Greek,ὑπόκειμαι
25675,"{'id': 28426, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28426.json'}",ܐܘܦܘܩܪܝܣܝܣ,"{'Greek': ['ἀπόκρισις'], 'English': ['a separating, an answer']}",{'Greek': ['ἀπόκρισις']},,"[{'id': 54800, 'uri': 'https://sedra.bethmardutho.org/api/word/54800.json'}]",noun,,Greek,ἀπόκρισις
25676,"{'id': 28427, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28427.json'}",ܐܘܦܘܪܦܝܘܠܐܩܝܘܢ,"{'Greek': ['ὀπωροφυλάκιον'], 'English': ['hut of a garden-watcher']}",{'Greek': ['ὀπωροφυλάκιον']},,"[{'id': 48877, 'uri': 'https://sedra.bethmardutho.org/api/word/48877.json'}, {'id': 54801, 'uri': 'https://sedra.bethmardutho.org/api/word/54801.json'}]",noun,,Greek,ὀπωροφυλάκιον
25677,"{'id': 28428, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28428.json'}",ܐܘܦܘܬܐ,{'Greek': ['ὑπόθεσις']},{'Greek': ['ὑπόθεσις']},,"[{'id': 48871, 'uri': 'https://sedra.bethmardutho.org/api/word/48871.json'}, {'id': 54802, 'uri': 'https://sedra.bethmardutho.org/api/word/54802.json'}]",noun,,Greek,ὑπόθεσις
25678,"{'id': 28429, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28429.json'}",ܐܘܦܘܬܐܣܝܣ,{'Greek': ['ὑπόθεσις']},{'Greek': ['ὑπόθεσις']},,"[{'id': 48925, 'uri': 'https://sedra.bethmardutho.org/api/word/48925.json'}, {'id': 54803, 'uri': 'https://sedra.bethmardutho.org/api/word/54803.json'}]",noun,,Greek,ὑπόθεσις
25679,"{'id': 28430, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28430.json'}",ܐܘܦܘܬܝܩܝ,"{'Greek': ['ὑποθήκη'], 'English': ['suggestion, counsel, warning, pledge, deposit, mortgage']}",{'Greek': ['ὑποθήκη']},,"[{'id': 48866, 'uri': 'https://sedra.bethmardutho.org/api/word/48866.json'}, {'id': 54804, 'uri': 'https://sedra.bethmardutho.org/api/word/54804.json'}]",noun,,Greek,ὑποθήκη
25681,"{'id': 28432, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28432.json'}",ܐܘܦܛܐܣܝܣ,"{'Greek': ['ὑπότασις'], 'English': ['a stretching under']}",{'Greek': ['ὑπότασις']},,"[{'id': 54806, 'uri': 'https://sedra.bethmardutho.org/api/word/54806.json'}]",noun,,Greek,ὑπότασις
25682,"{'id': 28433, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28433.json'}",ܐܘܦܘܩܪܘܦܘ,"{'Greek': ['ἀπόκρυφοι'], 'English': ['hidden, concealed, obscure, recondite, hard to understand']}",{'Greek': ['ἀπόκρυφος']},,"[{'id': 54807, 'uri': 'https://sedra.bethmardutho.org/api/word/54807.json'}]",adjective,,Greek,ἀπόκρυφος
25683,"{'id': 28434, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28434.json'}",ܐܘܦܛܘܣ,"{'Greek': ['ὕπατος'], 'English': ['consul']}",{'Greek': ['ὕπατος']},,"[{'id': 54808, 'uri': 'https://sedra.bethmardutho.org/api/word/54808.json'}]",noun,,Greek,ὕπατος
25686,"{'id': 28437, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28437.json'}",ܐܘܦܛܝܩܐ,"{'Greek': ['ὑπατική'], 'English': ['of or for a consul, consular']}",{'Greek': ['ὑπατική']},,"[{'id': 54811, 'uri': 'https://sedra.bethmardutho.org/api/word/54811.json'}]",noun,,Greek,ὑπατική
25687,"{'id': 28438, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28438.json'}",ܐܘܦܛܪܝܘܢ,"{'Greek': ['εὐπατόριον'], 'English': ['Agrimonia Eupatorium, agrimony']}",{'Greek': ['εὐπατόριον']},,"[{'id': 54812, 'uri': 'https://sedra.bethmardutho.org/api/word/54812.json'}]",noun,,Greek,εὐπατόριον
25688,"{'id': 28439, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28439.json'}",ܐܘܦܛܪܝܩܘܢ,"{'Greek': ['ὄστρακον'], 'English': ['earthen vessel, the hard shell of snails, mussels, cuttle-fishes, tortoises']}",{'Greek': ['ὄστρακον']},,"[{'id': 48880, 'uri': 'https://sedra.bethmardutho.org/api/word/48880.json'}, {'id': 54813, 'uri': 'https://sedra.bethmardutho.org/api/word/54813.json'}]",noun,,Greek,ὄστρακον
25689,"{'id': 28440, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28440.json'}",ܐܘܦܝܘܢ,"{'Greek': ['ὄπιον'], 'English': ['poppy-juice, opium']}",{'Greek': ['ὄπιον']},,"[{'id': 54814, 'uri': 'https://sedra.bethmardutho.org/api/word/54814.json'}]",noun,,Greek,ὄπιον
25690,"{'id': 28441, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28441.json'}",ܐܘܦܝܘܣ,"{'Greek': ['ὄφεως'], 'English': ['serpent']}",{'Greek': ['ὄφις']},,"[{'id': 54815, 'uri': 'https://sedra.bethmardutho.org/api/word/54815.json'}]",noun,,Greek,ὄφις
25691,"{'id': 28442, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28442.json'}",ܐܘܦܝܘܣܩܪܕܘܢ,"{'Greek': ['ὀφιοσκόροδον'], 'English': ['wild garlic, Allium scorodoprasum']}",{'Greek': ['ὀφιοσκόροδον']},,"[{'id': 54816, 'uri': 'https://sedra.bethmardutho.org/api/word/54816.json'}]",noun,,Greek,ὀφιοσκόροδον
25693,"{'id': 28444, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28444.json'}",ܐܘܦܝܡܘܣ,"{'Greek': ['εὔφημος'], 'English': ['uttering sounds, in positive sense, fair-sounding, auspicious of good omen, laudatory,']}",{'Greek': ['εὔφημος']},,"[{'id': 54818, 'uri': 'https://sedra.bethmardutho.org/api/word/54818.json'}]",adjective,,Greek,εὔφημος
25697,"{'id': 28448, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28448.json'}",ܐܘܦܝܣ,"{'Greek': ['ὄφις'], 'English': ['serpent']}",{'Greek': ['ὄφις']},,"[{'id': 48887, 'uri': 'https://sedra.bethmardutho.org/api/word/48887.json'}, {'id': 54822, 'uri': 'https://sedra.bethmardutho.org/api/word/54822.json'}]",noun,,Greek,ὄφις
25698,"{'id': 28449, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28449.json'}",ܐܘܦܝܣܐ,"{'Greek': ['ὄπις'], 'English': ['the vengeance, a taking vengeance, avenging, revenge']}",{'Greek': ['ὄπις']},,"[{'id': 48889, 'uri': 'https://sedra.bethmardutho.org/api/word/48889.json'}, {'id': 54823, 'uri': 'https://sedra.bethmardutho.org/api/word/54823.json'}]",noun,,Greek,ὄπις
25699,"{'id': 28450, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28450.json'}",ܐܘܦܝܣܘ,"{'Greek': ['ὀπίσω'], 'English': ['(of Place) backwards, (of Time) hereafter']}",{'Greek': ['ὀπίσω']},,"[{'id': 48888, 'uri': 'https://sedra.bethmardutho.org/api/word/48888.json'}, {'id': 54824, 'uri': 'https://sedra.bethmardutho.org/api/word/54824.json'}]",adverb,,Greek,ὀπίσω
25701,"{'id': 28453, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28453.json'}",ܐܘܦܝܩܝܢ,"{'Greek': ['ὀφφίκιον'], 'Latin': ['officium'], 'English': ['an office, appointment, The officials or attendants on a magistrate, An office or court of a magistrate']}",{'Latin': ['officium']},,"[{'id': 54827, 'uri': 'https://sedra.bethmardutho.org/api/word/54827.json'}]",noun,,Latin,officium
25702,"{'id': 28454, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28454.json'}",ܐܘܦܝܩܪܐܘܢ,"{'Greek': ['ὑπήκοον'], 'Latin': ['horned cummin, Hypecoum procumbens']}",{'Greek': ['ὑπήκοον']},,"[{'id': 54828, 'uri': 'https://sedra.bethmardutho.org/api/word/54828.json'}]",noun,,Greek,ὑπήκοον
25703,"{'id': 28455, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28455.json'}",ܐܘܦܝܬܝܣ,"{'Greek': ['άπίτης (οἶνος)'], 'English': ['perry']}",{'Greek': ['άπίτης']},,"[{'id': 54829, 'uri': 'https://sedra.bethmardutho.org/api/word/54829.json'}]",noun,,Greek,άπίτης
25704,"{'id': 28456, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28456.json'}",ܐܩܦܠܘܓܝܐ,"{'Greek': ['ἀπολογία'], 'English': ['speech in defence']}",{'Greek': ['ἀπολογία']},,"[{'id': 54830, 'uri': 'https://sedra.bethmardutho.org/api/word/54830.json'}]",noun,,Greek,ἀπολογία
25705,"{'id': 28457, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28457.json'}",ܐܘܦܠܘܢ,"{'Greek': ['ὅπλον'], 'English': ['tool, implement']}",{'Greek': ['ὅπλον']},,"[{'id': 48908, 'uri': 'https://sedra.bethmardutho.org/api/word/48908.json'}, {'id': 54831, 'uri': 'https://sedra.bethmardutho.org/api/word/54831.json'}]",noun,,Greek,ὅπλον
25706,"{'id': 28458, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28458.json'}",ܐܘܦܠܘܢܝܛܝܣ,"{'Greek': ['φλονῖτις'], 'English': ['golden drop, Onosma echioides']}",{'Greek': ['φλονῖτις']},,"[{'id': 54832, 'uri': 'https://sedra.bethmardutho.org/api/word/54832.json'}]",noun,,Greek,φλονῖτις
25708,"{'id': 28460, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28460.json'}",ܐܘܦܠܝ,"{'Greek': ['ὁπλή'], 'English': ['hoof']}",{'Greek': ['ὁπλή']},,"[{'id': 48907, 'uri': 'https://sedra.bethmardutho.org/api/word/48907.json'}, {'id': 54834, 'uri': 'https://sedra.bethmardutho.org/api/word/54834.json'}]",noun,,Greek,ὁπλή
25710,"{'id': 28462, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28462.json'}",ܐܘܦܠܝܡܣܝܣ,{'Greek': ['ὑπόληψις']},{'Greek': ['ὑπόληψις']},,"[{'id': 48894, 'uri': 'https://sedra.bethmardutho.org/api/word/48894.json'}, {'id': 54836, 'uri': 'https://sedra.bethmardutho.org/api/word/54836.json'}]",noun,,Greek,ὑπόληψις
25714,"{'id': 28466, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28466.json'}",ܐܘܦܣܓܢܝܘܢ,"{'Greek': ['φασγάνιον, φάσγανον'], 'English': ['sword, corn-flag, Gladiolus segetum']}",{'Greek': ['φάσγανον']},,"[{'id': 54840, 'uri': 'https://sedra.bethmardutho.org/api/word/54840.json'}]",noun,,Greek,φάσγανον
25716,"{'id': 28468, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28468.json'}",ܐܘܦܣܘܡܐܬܝܣ,"{'Greek': ['ὀψιμαθεῖς'], 'English': ['late in learning, late to learn, vain of late-gotten learning, pedantic']}",{'Greek': ['ὀψιμαθής']},,"[{'id': 54842, 'uri': 'https://sedra.bethmardutho.org/api/word/54842.json'}]",adjective,,Greek,ὀψιμαθής
25717,"{'id': 28469, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28469.json'}",ܐܘܦܣܘܢܝܐ,"{'Greek': ['ὀψώνιον'], 'English': ['salary, wages of labour']}",{'Greek': ['ὀψώνιον']},,"[{'id': 54843, 'uri': 'https://sedra.bethmardutho.org/api/word/54843.json'}]",noun,,Greek,ὀψώνιον
25718,"{'id': 28470, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28470.json'}",ܐܘܦܣܝܟܣ,"{'Greek': ['εὔψυχος'], 'English': ['of good courage, stout of heart']}",{'Greek': ['εὔψυχος']},,"[{'id': 54844, 'uri': 'https://sedra.bethmardutho.org/api/word/54844.json'}]",adjective,,Greek,εὔψυχος
25720,"{'id': 28472, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28472.json'}",ܐܘܦܣܪܝܢ,"{'Greek': ['ὀψάριον'], 'English': ['fish']}",{'Greek': ['ὀψάριον']},,"[{'id': 48903, 'uri': 'https://sedra.bethmardutho.org/api/word/48903.json'}, {'id': 54846, 'uri': 'https://sedra.bethmardutho.org/api/word/54846.json'}]",noun,,Greek,ὀψάριον
25721,"{'id': 28473, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28473.json'}",ܐܘܦܦܝܩܝܠܝܐܘܣ,"{'Greek': ['ὀφφικιάλιος'], 'Latin': ['officialis'], 'English': ['of or belonging to duty, office, or service, official']}",{'Latin': ['officialis']},,"[{'id': 54847, 'uri': 'https://sedra.bethmardutho.org/api/word/54847.json'}]",adjective,,Latin,officialis
25722,"{'id': 28474, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28474.json'}",ܐܘܦܩܝܡܗܢܘܢ,{'Greek': ['ὑποκείμενον']},{'Greek': ['ὑπόκειμαι']},,"[{'id': 54848, 'uri': 'https://sedra.bethmardutho.org/api/word/54848.json'}]",participle adjective,,Greek,ὑπόκειμαι
25723,"{'id': 28475, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28475.json'}",ܐܘܦܪܐ,"{'Greek': ['ἀμφορέα'], 'English': ['jar']}",{'Greek': ['ἀμφορεύς']},,"[{'id': 42561, 'uri': 'https://sedra.bethmardutho.org/api/word/42561.json'}, {'id': 48915, 'uri': 'https://sedra.bethmardutho.org/api/word/48915.json'}, {'id': 54849, 'uri': 'https://sedra.bethmardutho.org/api/word/54849.json'}]",noun,,Greek,ἀμφορεύς
25726,"{'id': 28478, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28478.json'}",ܐܘܦܪܒܝܘܢ,"{'Greek': ['εὐφόρβιον'], 'English': ['spurge, Euphorbia resinifera']}",{'Greek': ['εὐφόρβιον']},,"[{'id': 54852, 'uri': 'https://sedra.bethmardutho.org/api/word/54852.json'}]",noun,,Greek,εὐφόρβιον
25727,"{'id': 28479, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28479.json'}",ܐܘܦܪܘܝܓܝܘܢ,"{'Greek': ['ὁ περίγειος, τὸ περίγειον'], 'English': ['surrounding the earth']}",{'Greek': ['περίγειος']},,"[{'id': 54853, 'uri': 'https://sedra.bethmardutho.org/api/word/54853.json'}]",adjective,,Greek,περίγειος
25728,"{'id': 28480, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28480.json'}",ܐܘܦܪܘܣܝܢܝ,"{'Greek': ['εὐφροσύνη'], 'English': ['mirth, merriment']}",{'Greek': ['εὐφροσύνη']},,"[{'id': 48919, 'uri': 'https://sedra.bethmardutho.org/api/word/48919.json'}, {'id': 54854, 'uri': 'https://sedra.bethmardutho.org/api/word/54854.json'}]",noun,,Greek,εὐφροσύνη
25730,"{'id': 28482, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28482.json'}",ܐܘܦܪܝܩܘܢ,"{'Greek': ['ὑπερικόν'], 'English': [""St. John's wort, Hypericum crispum""]}",{'Greek': ['ὑπέρεικος']},,"[{'id': 48912, 'uri': 'https://sedra.bethmardutho.org/api/word/48912.json'}, {'id': 54856, 'uri': 'https://sedra.bethmardutho.org/api/word/54856.json'}]",noun,,Greek,ὑπέρεικος
25731,"{'id': 28484, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28484.json'}",ܐܘܦܪܟܝܐ,"{'Greek': ['ὑπαρχία, ἐπαρχία'], 'English': ['province, district']}",{'Greek': ['ὑπαρχεία']},,"[{'id': 54858, 'uri': 'https://sedra.bethmardutho.org/api/word/54858.json'}]",noun,,Greek,ὑπαρχεία
25732,"{'id': 28486, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28486.json'}",ܐܘܦܪܟܣܝܣ,{'Greek': ['εὔπραξις']},{'Greek': ['εὔπραξις']},,"[{'id': 48918, 'uri': 'https://sedra.bethmardutho.org/api/word/48918.json'}, {'id': 54860, 'uri': 'https://sedra.bethmardutho.org/api/word/54860.json'}]",noun,,Greek,εὔπραξις
25734,"{'id': 28488, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28488.json'}",ܐܘܦܬܐܘܣ,"{'Greek': ['ἀπαθής (or) ἀπαθῶς'], 'English': ['without passion or feeling, insensible, free from emotion']}",{'Greek': ['ἀπαθής']},,"[{'id': 48922, 'uri': 'https://sedra.bethmardutho.org/api/word/48922.json'}, {'id': 54862, 'uri': 'https://sedra.bethmardutho.org/api/word/54862.json'}]",adjective,,Greek,ἀπαθής
25735,"{'id': 28489, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28489.json'}",ܐܘܦܬܐܠܡܘܣ,"{'Greek': ['ὀφθαλμός'], 'English': ['eye']}",{'Greek': ['ὀφθαλμός']},,"[{'id': 48901, 'uri': 'https://sedra.bethmardutho.org/api/word/48901.json'}, {'id': 54863, 'uri': 'https://sedra.bethmardutho.org/api/word/54863.json'}]",noun,,Greek,ὀφθαλμός
25736,"{'id': 28490, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28490.json'}",ܐܘܦܬܐܠܡܝܐ,"{'Greek': ['ὀφθαλμία'], 'English': ['ophthalmia (a disease of the eyes accompanied by the discharge of humours)']}",{'Greek': ['ὀφθαλμία']},,"[{'id': 48911, 'uri': 'https://sedra.bethmardutho.org/api/word/48911.json'}, {'id': 54864, 'uri': 'https://sedra.bethmardutho.org/api/word/54864.json'}]",noun,,Greek,ὀφθαλμία
25737,"{'id': 28491, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28491.json'}",ܐܘܦܬܗܣܝܣ,{'Greek': ['ὑπόθεσις']},{'Greek': ['ὑπόθεσις']},,"[{'id': 54865, 'uri': 'https://sedra.bethmardutho.org/api/word/54865.json'}]",noun,,Greek,ὑπόθεσις
25739,"{'id': 28493, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28493.json'}",ܐܘܦܬܝܣܘܡܐ,{'Greek': ['ὀφθήσομαι']},{'Greek': ['ὁράω']},,"[{'id': 54867, 'uri': 'https://sedra.bethmardutho.org/api/word/54867.json'}]",verb,,Greek,ὁράω
25740,"{'id': 28494, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28494.json'}",ܐܘܦܬܡܪܘܢ,"{'Syriac': ['ܐܘܦܡܪܬܘܢ'], 'Greek': ['ἱππομἀραθον'], 'English': ['horse-fennel, Prangos ferulacea']}",{'Greek': ['ἱππομἀραθον']},,"[{'id': 54868, 'uri': 'https://sedra.bethmardutho.org/api/word/54868.json'}]",noun,,Greek,ἱππομἀραθον
25741,"{'id': 28495, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28495.json'}",ܐܘܩܐܘܢܣ,"{'Greek': ['ὠκεανός'], 'English': ['ocean (later the name of the great Outward Sea, opp. to the Inward or Mediterranean)']}",{'Greek': ['ὠκεανός']},,"[{'id': 54869, 'uri': 'https://sedra.bethmardutho.org/api/word/54869.json'}]",noun,,Greek,ὠκεανός
25743,"{'id': 28498, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28498.json'}",ܐܘܩܛܘܒܪܝܘܣ,"{'Latin': ['October'], 'English': ['of or belonging to the eighth (month), the eighth, October, originally the eighth month of the Roman year, reckoning from March']}",{'Latin': ['October']},,"[{'id': 54872, 'uri': 'https://sedra.bethmardutho.org/api/word/54872.json'}]",noun,,Latin,October
25745,"{'id': 28500, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28500.json'}",ܐܘܩܝܐܢܘܣ,"{'Greek': ['ὠκεανός'], 'English': ['ocean (later the name of the great Outward Sea, opp. to the Inward or Mediterranean)']}",{'Greek': ['ὠκεανός']},,"[{'id': 54874, 'uri': 'https://sedra.bethmardutho.org/api/word/54874.json'}]",noun,,Greek,ὠκεανός
25746,"{'id': 28501, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28501.json'}",ܐܘܩܝܠܘܣ,"{'Greek': ['εὐκηλος'], 'English': [""free from care, at one's ease""]}",{'Greek': ['εὐκηλος']},,"[{'id': 48742, 'uri': 'https://sedra.bethmardutho.org/api/word/48742.json'}, {'id': 54875, 'uri': 'https://sedra.bethmardutho.org/api/word/54875.json'}]",adjective,,Greek,εὐκηλος
25747,"{'id': 28502, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28502.json'}",ܐܘܩܝܡܘܐܝܘܣ,"{'Greek': ['ὠκιμοειδής'], 'English': ['like']}",{'Greek': ['ὠκιμοειδής']},,"[{'id': 54876, 'uri': 'https://sedra.bethmardutho.org/api/word/54876.json'}]",adjective,,Greek,ὠκιμοειδής
25748,"{'id': 28503, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28503.json'}",ܐܘܩܝܡܘܢ,"{'Greek': ['ὤκιμον'], 'English': ['basil, Ocimum Basilicum']}",{'Greek': ['ὤκιμον']},,"[{'id': 48944, 'uri': 'https://sedra.bethmardutho.org/api/word/48944.json'}, {'id': 54877, 'uri': 'https://sedra.bethmardutho.org/api/word/54877.json'}]",noun,,Greek,ὤκιμον
25749,"{'id': 28505, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28505.json'}",ܐܘܩܝܢܘܣ,"{'Greek': ['ὠκεανός'], 'English': ['ocean']}",{'Greek': ['ὠκεανός']},,"[{'id': 54879, 'uri': 'https://sedra.bethmardutho.org/api/word/54879.json'}]",noun,,Greek,ὠκεανός
25750,"{'id': 28506, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28506.json'}",ܐܘܩܝܢܘܣ,"{'Greek': ['Ὠκεανός'], 'English': ['Oceanus']}",{'Greek': ['Ὠκεανός']},,"[{'id': 54880, 'uri': 'https://sedra.bethmardutho.org/api/word/54880.json'}]",proper noun (individual's name; e.g. Ephrem),,Greek,Ὠκεανός
25752,"{'id': 28508, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28508.json'}",ܐܘܩܝܢܪܐ,"{'Greek': ['κρεάγρα'], 'English': ['flesh-hook, to take meat out of the pot']}",{'Greek': ['κρεάγρα']},,"[{'id': 54882, 'uri': 'https://sedra.bethmardutho.org/api/word/54882.json'}]",noun,,Greek,κρεάγρα
25753,"{'id': 28509, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28509.json'}",ܐܘܩܝܢܬܘܣ,"{'Greek': ['ὑάκινθος'], 'English': ['the hyacinth']}",{'Greek': ['ὑάκινθος']},,"[{'id': 54883, 'uri': 'https://sedra.bethmardutho.org/api/word/54883.json'}]",noun,,Greek,ὑάκινθος
25759,"{'id': 28516, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28516.json'}",ܐܘܪܐ,{'Greek': ['ὥρα']},{'Greek': ['ὥρα']},,"[{'id': 54890, 'uri': 'https://sedra.bethmardutho.org/api/word/54890.json'}]",noun,,Greek,ὥρα
25760,"{'id': 28517, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28517.json'}",ܐܘܪܐܢܘܢ,{'Greek': ['οὐρανόν']},{'Greek': ['οὐρανός']},,"[{'id': 48954, 'uri': 'https://sedra.bethmardutho.org/api/word/48954.json'}, {'id': 54891, 'uri': 'https://sedra.bethmardutho.org/api/word/54891.json'}]",noun,,Greek,οὐρανός
25761,"{'id': 28518, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28518.json'}",ܐܘܪܐܢܘܣ,{'Greek': ['οὐρανός']},{'Greek': ['οὐρανός']},,"[{'id': 48953, 'uri': 'https://sedra.bethmardutho.org/api/word/48953.json'}, {'id': 49016, 'uri': 'https://sedra.bethmardutho.org/api/word/49016.json'}, {'id': 54892, 'uri': 'https://sedra.bethmardutho.org/api/word/54892.json'}]",noun,,Greek,οὐρανός
25762,"{'id': 28519, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28519.json'}",ܐܘܪܐܢܝܘ,"{'Greek': ['οὐράνιοι'], 'English': ['heavenly, dwelling in heaven']}",{'Greek': ['οὐράνιος']},,"[{'id': 49015, 'uri': 'https://sedra.bethmardutho.org/api/word/49015.json'}, {'id': 54893, 'uri': 'https://sedra.bethmardutho.org/api/word/54893.json'}]",noun,,Greek,οὐράνιος
25765,"{'id': 28523, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28523.json'}",ܐܘܪܐܣܠܝܢܘܢ,"{'Greek': ['ὀρεοσέλινον'], 'English': ['mountain-parsley, Athamanta macedonica']}",{'Greek': ['ὀρεοσέλινον']},,"[{'id': 54897, 'uri': 'https://sedra.bethmardutho.org/api/word/54897.json'}]",noun,,Greek,ὀρεοσέλινον
25766,"{'id': 28524, 'uri': 'https://sedra.bethmardutho.org/api/lexeme/28524.json'}",ܐܘܪܐܩܠܝܕܘܢ,"{'Greek': ['εὐροκλύδων'], 'English': ['a storm from the East', 'euroaquilo, the northeast wind']}",{'Greek': ['εὐρακύλων']},,"[{'id': 54898, 'uri': 'https://sedra.bethmardutho.org/api/word/54898.json'}]",noun,,Greek,εὐρακύλων
